DTCO,GR,HCAL,RHO
100.034,68.88948,12.15872,2.114314
101.3867,70.80911,11.77918,2.137621
99.35759,70.87192,10.96096,2.189783
90.79043,72.31011,10.77283,2.247582
84.70322,69.39634,10.74408,2.277677
78.61603,70.20197,10.72436,2.30256
77.48877,72.41827,11.11376,2.308712
78.84148,73.65125,11.20741,2.267084
81.5469,77.29298,10.04169,2.236176
81.9978,76.04476,9.477312,2.223138
81.096,74.43569,9.294937,2.23773
79.74329,70.34623,9.635042,2.262296
77.93967,68.8071,8.974547,2.278509
76.81242,69.82598,9.398447,2.276647
76.58696,70.66495,9.541389,2.276504
75.4597,74.13816,9.181569,2.301125
73.20518,75.33629,9.023839,2.340149
72.75428,76.00079,8.999193,2.36953
71.62702,72.61136,10.03923,2.376686
68.24525,70.83687,10.0343,2.38246
62.8344,72.01924,10.01458,2.401798
60.35443,77.51017,9.980077,2.412884
60.80534,80.76233,8.925257,2.38539
64.63802,81.13589,8.491499,2.31765
72.39079,81.06657,9.043554,2.249124
77.51296,84.97418,9.373802,2.220518
81.59741,89.14894,9.398447,2.220379
83.77424,95.14339,9.260434,2.199816
85.05073,95.63615,9.107632,2.168106
88.49039,97.47166,9.260434,2.14513
92.94985,96.05621,9.674475,2.127983
97.10612,96.26317,9.649829,2.085805
104.543,93.12968,9.073129,2.030442
107.6993,92.26089,8.575294,2.011892
108.8266,93.16082,8.585152,2.03816
105.6702,96.53658,8.558864,2.081134
98.23033,90.84601,8.816818,2.107856
90.33952,86.99059,8.782314,2.135277
86.73229,81.1982,8.930186,2.154077
84.92868,85.48946,8.604868,2.145612
82.89961,88.99543,8.452067,2.130157
82.44871,90.31264,8.407705,2.134685
81.26649,90.48022,8.323912,2.16138
80.29401,91.75098,8.614726,2.189388
79.22649,93.4734,8.599938,2.208763
80.12561,94.82769,8.688663,2.230196
83.80142,90.74261,8.782314,2.248822
86.28139,85.53046,8.821747,2.256011
86.50684,79.20276,8.920328,2.262061
82.44871,76.97799,8.580222,2.290169
71.40157,73.57346,8.294337,2.340346
66.89253,69.17892,8.461925,2.38713
65.73145,63.13875,8.772456,2.416001
